YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2012,2012,AK,Alaska,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,20.1,20.1,,,18.4,21.8,Overall,Overall,"(64.84507995700051, -147.72205903599973)",2,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,AL,Alabama,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,24.4,24.4,,,22.9,25.9,Overall,Overall,"(32.84057112200048, -86.63186076199969)",1,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,AR,Arkansas,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,25.8,25.8,,,24,27.7,Overall,Overall,"(34.74865012400045, -92.27449074299966)",5,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,AZ,Arizona,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,17.3,17.3,,,15.8,18.9,Overall,Overall,"(34.865970280000454, -111.76381127699972)",4,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,CA,California,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,12.5,12.5,,,11.7,13.3,Overall,Overall,"(37.63864012300047, -120.99999953799971)",6,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,CO,Colorado,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,17.7,17.7,,,16.7,18.7,Overall,Overall,"(38.843840757000464, -106.13361092099967)",8,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,CT,Connecticut,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,16.8,16.8,,,15.5,18,Overall,Overall,"(41.56266102000046, -72.64984095199964)",9,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,DC,District of Columbia,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,19.9,19.9,,,17.7,22.1,Overall,Overall,"(38.907192, -77.036871)",11,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,DE,Delaware,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,20.5,20.5,,,18.8,22.1,Overall,Overall,"(39.008830667000495, -75.57774116799965)",10,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,FL,Florida,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,18.4,18.4,,,16.8,20,Overall,Overall,"(28.932040377000476, -81.92896053899966)",12,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,GA,Georgia,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,20.3,20.3,,,18.7,21.8,Overall,Overall,"(32.83968109300048, -83.62758034599966)",13,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,HI,Hawaii,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,15,15,,,13.7,16.3,Overall,Overall,"(21.304850435000446, -157.85774940299973)",15,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,IA,Iowa,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,19,19,,,17.7,20.3,Overall,Overall,"(42.46940091300047, -93.81649055599968)",19,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,ID,Idaho,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,16.5,16.5,,,14.7,18.4,Overall,Overall,"(43.682630005000476, -114.3637300419997)",16,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,IL,Illinois,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,18.9,18.9,,,17.1,20.6,Overall,Overall,"(40.48501028300046, -88.99771017799969)",17,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,IN,Indiana,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,24.4,24.4,,,23.1,25.7,Overall,Overall,"(39.766910452000445, -86.14996019399968)",18,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,KS,Kansas,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,19.7,19.7,,,18.6,20.7,Overall,Overall,"(38.34774030000045, -98.20078122699965)",20,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,KY,Kentucky,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,29.1,29.1,,,27.6,30.6,Overall,Overall,"(31.31266064400046, -92.44568007099969)",21,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,LA,Louisiana,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,25.3,25.3,,,23.7,26.9,Overall,Overall,"(31.31266064400046, -92.44568007099969)",22,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,MA,Massachusetts,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,16.9,16.9,,,16,17.7,Overall,Overall,"(42.27687047000046, -72.08269067499964)",25,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
2012,2012,MD,Maryland,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Age-adjusted Prevalence,16.3,16.3,,,15,17.5,Overall,Overall,"(39.29058096400047, -76.60926011099963)",24,TOB,TOB1_2,AgeAdjPrev,OVERALL,OVR
